,mass A,,,
t,x,y,vy,
0,067,-0,248,4,583E-2,
0,100,-0,247,5,097E-2,0,165
0,133,-0,246,5,684E-2,0,186
0,167,-0,246,6,339E-2,0,217
0,200,-0,244,7,131E-2,0,255
0,233,-0,243,8,041E-2,0,294
0,267,-0,241,9,090E-2,0,333
0,300,-0,239,0,103,0,374
0,333,-0,237,0,116,0,414
0,367,-0,234,0,130,0,455
0,400,-0,231,0,146,0,501
0,433,-0,226,0,164,0,564
0,467,-0,221,0,184,0,621
0,500,-0,215,0,205,0,682
0,533,-0,208,0,229,0,744
0,567,-0,197,0,255,0,801
0,600,-0,186,0,283,0,892
0,633,-0,172,0,314,0,980
0,667,-0,158,0,348,1,064
0,700,-0,143,0,385,1,166
0,733,-0,131,0,426,1,255
0,767,-0,120,0,469,1,333
0,800,-0,114,0,515,1,384
0,833,-0,114,0,561,1,375
0,867,-0,120,0,606,1,344
0,900,-0,126,0,651,1,307
0,933,-0,134,0,693,1,253
0,967,-0,143,0,734,1,195
1,000,-0,151,0,773,1,137
1,033,-0,161,0,810,1,073
1,067,-0,171,0,844,1,012
1,100,-0,180,0,877,0,956
1,133,-0,186,0,908,0,919
1,167,-0,190,0,939,0,920
1,200,-0,191,0,969,0,919
1,233,-0,191,1,000,0,925
1,267,-0,183,1,031,0,954
1,300,-0,172,1,063,1,005
1,333,-0,158,1,098,1,075
1,367,-0,143,1,135,1,160
1,400,-0,127,1,175,1,263
1,433,-0,114,1,219,1,332
1,467,-0,106,1,264,1,365
1,500,-0,101,1,310,1,401
1,533,-9,724E-2,1,358,1,489
1,567,-8,995E-2,1,410,
